generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score
MONTELUKAST SODIUM,"The drug label for SINGULAIR (montelukast sodium) includes the following sentences that discuss hematological toxicity risks and hematological reactions:
 

 1. **""increased bleeding tendency, thrombocytopenia""**  
  - **Summary**: The drug label mentions that increased bleeding tendency and thrombocytopenia have been identified during post-approval use of SINGULAIR.  
  - **Association**: These reactions were reported during post-approval use, suggesting a potential association with the drug, but it is not explicitly stated that SINGULAIR caused these reactions.
 

 2. **""hypersensitivity reactions including anaphylaxis, hepatic eosinophilic infiltration""**  
  - **Summary**: The drug label lists hypersensitivity reactions, including hepatic eosinophilic infiltration, as adverse reactions identified during post-approval use of SINGULAIR.  
  - **Association**: These reactions were reported during post-approval use, indicating a potential association with the drug, but causation is not explicitly stated.
 

 3. **""Patients with asthma on therapy with SINGULAIR may present with systemic eosinophilia, sometimes presenting with clinical features of vasculitis consistent with Churg-Strauss syndrome""**  
  - **Summary**: The drug label states that patients with asthma on SINGULAIR therapy may develop systemic eosinophilia, which can sometimes present with clinical features of vasculitis consistent with Churg-Strauss syndrome.  
  - **Association**: The label suggests an association between SINGULAIR therapy and the development of systemic eosinophilia and vasculitis, but it does not definitively state that SINGULAIR causes these conditions.
 

 4. **""These events have been sometimes associated with the reduction of oral corticosteroid therapy""**  
  - **Summary**: The drug label notes that the events of systemic eosinophilia and vasculitis have sometimes been associated with the reduction of oral corticosteroid therapy.  
  - **Association**: This statement indicates that the reduction of oral corticosteroid therapy, rather than SINGULAIR itself, may be associated with these hematological reactions.
 

 In summary, the drug label for SINGULAIR mentions potential hematological reactions such as increased bleeding tendency, thrombocytopenia, hepatic eosinophilic infiltration, and systemic eosinophilia with vasculitis. These reactions are associated with the use of SINGULAIR, but the label does not definitively state that SINGULAIR causes these conditions. Additionally, the reduction of oral corticosteroid therapy is also mentioned as a potential factor associated with these reactions.",Less,Yes,2,1
DEUCRAVACITINIB,"The drug label for SOTYKTU (deucravacitinib) includes several sentences discussing hematological toxicity risks and hematological reactions. Here is a summary of each relevant sentence, clearly stating whether the drug itself was associated with or caused the hematological risk:
 

 1. **""SOTYKTU is not recommended for use in combination with other potent immunosuppressants.""**
  - **Summary:** This sentence does not directly associate SOTYKTU with hematological toxicity but implies a potential risk when combined with other immunosuppressants.
 

 2. **""SOTYKTU may increase the risk of infection.""**
  - **Summary:** SOTYKTU itself is associated with an increased risk of infection, which can be a hematological concern.
 

 3. **""Avoid use in patients with active or serious infection.""**
  - **Summary:** This sentence advises against using SOTYKTU in patients with active or serious infections, indicating that the drug itself could exacerbate these conditions.
 

 4. **""If a serious infection develops, discontinue SOTYKTU until the infection resolves.""**
  - **Summary:** SOTYKTU is associated with the development of serious infections, necessitating discontinuation if such infections occur.
 

 5. **""Evaluate patients for active and latent tuberculosis (TB) infection prior to initiating treatment with SOTYKTU.""**
  - **Summary:** This sentence suggests that SOTYKTU could potentially reactivate latent TB, a hematological concern.
 

 6. **""Malignancies including lymphomas were observed in clinical trials with SOTYKTU.""**
  - **Summary:** SOTYKTU itself is associated with an increased risk of malignancies, including lymphomas, which are hematological cancers.
 

 7. **""Consider the benefits and risks for the individual patient prior to initiating or continuing therapy with SOTYKTU, particularly in patients with a known malignancy (other than a successfully treated non-melanoma skin cancer) and patients who develop a malignancy when on treatment with SOTYKTU.""**
  - **Summary:** This sentence advises caution in patients with a history of malignancy, indicating that SOTYKTU itself is associated with an increased risk of developing malignancies.
 

 8. **""Cases of rhabdomyolysis were reported in subjects treated with SOTYKTU resulting in interruption or discontinuation of SOTYKTU dosing.""**
  - **Summary:** SOTYKTU itself is associated with cases of rhabdomyolysis, a condition that can lead to hematological complications.
 

 9. **""Treatment with SOTYKTU was associated with an increased incidence of asymptomatic creatine phosphokinase (CPK) elevation and rhabdomyolysis compared to treatment with placebo.""**
  - **Summary:** SOTYKTU itself is associated with increased CPK levels and rhabdomyolysis, which are hematological concerns.
 

 10. **""Discontinue SOTYKTU if markedly elevated CPK levels occur or myopathy is diagnosed or suspected.""**
  - **Summary:** This sentence advises discontinuation of SOTYKTU if elevated CPK levels or myopathy occur, indicating that the drug itself is associated with these conditions.
 

 11. **""Treatment with SOTYKTU was associated with increases in triglyceride levels.""**
  - **Summary:** SOTYKTU itself is associated with increased triglyceride levels, which can be a hematological concern.
 

 12. **""Treatment with SOTYKTU was associated with an increase in the incidence of liver enzyme elevation compared to treatment with placebo.""**
  - **Summary:** SOTYKTU itself is associated with increased liver enzyme levels, which can have hematological implications.
 

 13. **""Evaluate liver enzymes at baseline and thereafter in patients with known or suspected liver disease according to routine patient management.""**
  - **Summary:** This sentence advises monitoring liver enzymes in patients on SOTYKTU, indicating that the drug itself is associated with liver enzyme elevation.
 

 14. **""In the 16-week placebo-controlled period, infections occurred in 29% of the SOTYKTU group (116 events per 100 person-years) compared to 22% of the placebo group (83.7 events per 100 person-years).""**
  - **Summary:** SOTYKTU itself is associated with a higher incidence of infections compared to placebo, a hematological concern.
 

 15. **""In the 16-week placebo-controlled period, serious infections were reported in 5 subjects (2.0 per 100 patient-years) treated with SOTYKTU, and 2 subjects (1.6 per 100 patient-years) treated with placebo.""**
  - **Summary:** SOTYKTU itself is associated with a higher incidence of serious infections compared to placebo.
 

 16. **""During the 0-to-52-week treatment period of the two clinical trials, PSO-1 and PSO-2 (total exposure of 986 patient-years with SOTYKTU), malignancies (excluding non-melanoma skin cancer) were reported in 3 subjects treated with SOTYKTU (0.3 per 100 patient-years), including single cases each of breast cancer, hepatocellular carcinoma, and lymphoma after 24, 32, and 25 weeks of treatment, respectively.""**
  - **Summary:** SOTYKTU itself is associated with an increased risk of malignancies, including hematological cancers like lymphoma.
 

 17. **""During PSO-1, PSO-2, and the open-label extension trial in which subjects who completed the controlled trials could enroll, a total of 3 subjects (0.1 per 100 patient-years), developed lymphoma while receiving SOTYKTU after 25, 77, and 98 weeks of treatment.""**
  - **Summary:** SOTYKTU itself is associated with the development of lymphoma, a hematological cancer.
 

 18. **""In the 16-week placebo-controlled period, increased CPK (including Grade 4) was reported in 23 subjects (9.3 per 100 patient-years) treated with SOTYKTU, and 5 subjects (4.1 per 100 patient-years) treated with placebo.""**
  - **Summary:** SOTYKTU itself is associated with increased CPK levels, a hematological concern.
 

 19. **""Events of increases in liver enzymes ≥3 times the ULN were observed in subjects treated with SOTYKTU.""**
  - **Summary:** SOTYKTU itself is associated with significant increases in liver enzymes, which can have hematological implications.
 

 20. **""In the 16-week placebo-controlled period: ALT elevations ≥3 times the ULN was reported in 9 subjects (3.6 per 100 patient- years) treated with SOTYKTU, and 2 subjects (1.6 per 100 patient-years) treated with placebo.""**
  - **Summary:** SOTYKTU itself is associated with higher ALT elevations compared to placebo.
 

 21. **""AST elevations ≥3 times the ULN was reported in 13 subjects (5.2 per 100 patient- years) treated with SOTYKTU, and 2 subjects (1.6 per 100 patient-years) treated with placebo.""**
  - **Summary:** SOTYKTU itself is associated with higher AST elevations compared to placebo.
 

 22. **""In the 16-week placebo-controlled period in subjects who had moderate renal impairment (eGFR 30-59 mL/min) at baseline, decreased GFR was reported in 4 subjects (1.6 per 100 patient-years) treated with SOTYKTU, and 1 subject (0.8 per 100 patient-years) treated with placebo.""**
  - **Summary:** SOTYKTU itself is associated with decreased GFR in subjects with moderate renal impairment.
 

 23. **""Two of the deucravacitinib-treated subjects had worsening of baseline proteinuria.""**
  - **Summary:** SOTYKTU itself is associated with worsening proteinuria, a hematological concern.
 

 24. **""Mean triglycerides increased by 10.3 mg/dL during the 16-week treatment period in subjects treated with SOTYKTU and by 9.1 mg/dL during the 52-week treatment period.""**
  - **Summary:** SOTYKTU itself is associated with increased triglyceride levels, which can be a hematological concern.
 

 25. **""SOTYKTU is a tyrosine kinase 2 (TYK2) inhibitor.""**
  - **Summary:** This sentence describes the mechanism of action of SOTYKTU but does not directly associate it with hematological toxicity.
 

 26. **""The precise mechanism linking inhibition of TYK2 enzyme to therapeutic effectiveness in the treatment of adults with moderate-to-severe plaque psoriasis is not currently known.""**
  - **Summary:** This sentence does not directly associate SOTYKTU with hematological toxicity but discusses the unknown mechanism of action.
 

 27. **""In patients with psoriasis, deucravacitinib reduced psoriasis-associated gene expression in psoriatic skin in a dose dependent manner, including reductions in IL-23-pathway and type I IFN pathway regulated genes.""**
  - **Summary:** This sentence does not directly associate SOTYKTU with hematological toxicity but discusses its effects on gene expression.
 

 28. **""Deucravacitinib reduced IL-17A, IL-19 and beta-defensin by 47 to 50%,",Most,Yes,1,1
FINGOLIMOD HCL,"Here is a summary of all the sentences from the drug label that discuss hematological toxicity risks and hematological reactions for GILENYA (fingolimod):
 

 1. **Risk of Infections**: ""GILENYA causes a dose-dependent reduction in peripheral lymphocyte count to 20%–30% of baseline values because of reversible sequestration of lymphocytes in lymphoid tissues. GILENYA may therefore increase the risk of infections, some serious in nature."" 
  - **Summary**: GILENYA itself is associated with a reduction in lymphocyte count, increasing the risk of infections.
 

 2. **Complete Blood Count (CBC)**: ""Before initiating treatment with GILENYA, a recent CBC (i.e., within 6 months or after discontinuation of prior therapy) should be available.""
  - **Summary**: GILENYA itself necessitates a CBC before treatment due to its potential hematological effects.
 

 3. **Postmarketing Experience**: ""The following adverse reactions have been identified during postapproval use of GILENYA. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Blood and Lymphatic System Disorders: Hemolytic anemia and thrombocytopenia.""
  - **Summary**: Hemolytic anemia and thrombocytopenia have been reported in association with GILENYA, but a direct causal relationship is not definitively established.
 

 4. **Immune System Effects Following GILENYA Discontinuation**: ""Fingolimod remains in the blood and has pharmacodynamic effects, including decreased lymphocyte counts, for up to 2 months following the last dose of GILENYA.""
  - **Summary**: GILENYA itself causes decreased lymphocyte counts that persist for up to 2 months after discontinuation.
 

 5. **Effect on Antibody Response**: ""GILENYA reduces the immune response to vaccination, as evaluated in 2 studies.""
  - **Summary**: GILENYA itself is associated with a reduced immune response, indicating an effect on the hematological system.
 

 6. **Peripheral lymphocyte count increases**: ""Peripheral lymphocyte count increases are evident within days of stopping fingolimod treatment and typically normal counts are reached within 1 to 2 months.""
  - **Summary**: GILENYA itself causes a reduction in lymphocyte counts, which return to normal after discontinuation.
 

 7. **Lymphocyte counts**: ""In a study in which 12 adult subjects received GILENYA 0.5 mg daily, the lymphocyte count decreased to approximately 60% of baseline within 4 to 6 hours after the first dose.""
  - **Summary**: GILENYA itself is associated with a rapid decrease in lymphocyte count.
 

 8. **Low lymphocyte counts**: ""Low lymphocyte counts are maintained with chronic daily dosing of GILENYA 0.5 mg daily.""
  - **Summary**: GILENYA itself maintains low lymphocyte counts with chronic use.
 

 9. **Lymphocyte counts generally return to the normal range**: ""Lymphocyte counts generally return to the normal range within 1–2 months of stopping therapy.""
  - **Summary**: GILENYA itself causes decreased lymphocyte counts that normalize after discontinuation.
 

 10. **Neutrophil count**: ""Chronic fingolimod dosing leads to a mild decrease in the neutrophil count to approximately 80% of baseline.""
  - **Summary**: GILENYA itself is associated with a mild decrease in neutrophil count.
 

 11. **Monocytes**: ""Monocytes are unaffected by fingolimod.""
  - **Summary**: GILENYA itself does not affect monocyte counts.
 

 12. **Lymphopenia**: ""Lymphopenia was reported in 7% of patients receiving GILENYA 0.5 mg and less than 1% of patients on placebo.""
  - **Summary**: GILENYA itself is associated with lymphopenia in 7% of patients.
 

 13. **Leukopenia**: ""Leukopenia was reported in 2% of patients receiving GILENYA 0.5 mg and less than 1% of patients on placebo.""
  - **Summary**: GILENYA itself is associated with leukopenia in 2% of patients.
 

 14. **Blood and Lymphatic System Disorders**: ""Hemolytic anemia and thrombocytopenia have been identified during postapproval use of GILENYA.""
  - **Summary**: Hemolytic anemia and thrombocytopenia have been reported in association with GILENYA, but a direct causal relationship is not definitively established.
 

 15. **Peripheral blood lymphocyte counts**: ""Because GILENYA reduces blood lymphocyte counts via redistribution in secondary lymphoid organs, peripheral blood lymphocyte counts cannot be utilized to evaluate the lymphocyte subset status of a patient treated with GILENYA.""
  - **Summary**: GILENYA itself reduces blood lymphocyte counts, affecting the evaluation of lymphocyte subsets.
 

 16. **Lymphocyte counts**: ""Fingolimod remains in the blood and has pharmacodynamic effects, including decreased lymphocyte counts, for up to 2 months following the last dose of GILENYA.""
  - **Summary**: GILENYA itself causes decreased lymphocyte counts that persist for up to 2 months after discontinuation.
 

 These summaries highlight the hematological risks and reactions associated with GILENYA, emphasizing its impact on lymphocyte counts and the associated risks of infections and other hematological disorders.",Most,Yes,1,1
BERACTANT,"Here is a summary of all the sentences from the drug label that discuss hematological toxicity risks and hematological reactions for SURVANTA (beractant):
 

 1. **""The occurrence of concurrent illnesses common in premature infants was evaluated in the controlled trials.""**
  - This sentence does not specifically mention hematological toxicity risks or reactions.
 

 2. **""Hematologic: coagulopathy, thrombocytopenia, disseminated intravascular coagulation.""**
  - This sentence lists hematological conditions observed in the controlled clinical studies. It does not state that these conditions were caused by or associated with the drug itself.
 

 3. **""In the controlled clinical trials, there was no effect of SURVANTA on results of common laboratory tests: white blood cell count and serum sodium, potassium, bilirubin, and creatinine.""**
  - This sentence indicates that SURVANTA did not affect common laboratory tests, including white blood cell count, which is a hematological parameter. Therefore, it suggests that the drug itself was not associated with hematological toxicity in terms of these specific tests.
 

 In summary, the drug label mentions hematological conditions such as coagulopathy, thrombocytopenia, and disseminated intravascular coagulation as observed in the controlled clinical studies but does not explicitly state that these conditions were caused by or associated with SURVANTA. Additionally, it is noted that SURVANTA did not affect common laboratory tests related to hematology.",Less,No,1,2
HYDROCORTISONE,"The provided drug label for ALKINDI SPRINKLE (hydrocortisone) does not explicitly mention hematological toxicity risks or hematological reactions. The label primarily focuses on other types of adverse reactions and warnings, such as adrenal crisis, immunosuppression, growth retardation, Cushing's syndrome, bone mineral density decrease, psychiatric and ophthalmic adverse reactions, gastrointestinal issues, and risks associated with vaccination and Kaposi's sarcoma. 
 

 Therefore, there are no sentences in the drug label that discuss hematological toxicity risks or hematological reactions associated with ALKINDI SPRINKLE.",No,No,1,1
TOFERSEN,"The drug label for QALSODY (tofersen) does not explicitly discuss hematological toxicity risks or hematological reactions. The adverse reactions and warnings sections primarily focus on neurological and other systemic effects such as myelitis, radiculitis, papilledema, elevated intracranial pressure, and aseptic meningitis. There is no mention of hematological toxicity or reactions directly associated with the drug in the provided text.",No,No,1,1
GLYCOPYRROLATE ORALLY DISINTEGRATING TABLETS,"The provided drug label for DARTISLA ODT (glycopyrrolate) does not mention any hematological toxicity risks or hematological reactions. The label primarily focuses on the drug's indications, dosage, administration, contraindications, warnings, precautions, adverse reactions, drug interactions, use in specific populations, and other relevant information. 
 

 To summarize, there are no sentences in the drug label that discuss hematological toxicity risks or hematological reactions associated with DARTISLA ODT.",No,No,1,1
FLURAZEPAM HYDROCHLORIDE,"The drug label for Flurazepam Hydrochloride Capsules, USP mentions hematological toxicity risks and reactions in the following sentences:
 

 1. **Sentence:** ""There have also been rare occurrences of leukopenia, granulocytopenia...""
  - **Summary:** The drug itself was associated with rare occurrences of leukopenia and granulocytopenia.
 

 2. **Sentence:** ""...elevated SGOT, SGPT, total and direct bilirubin elevations, and elevated alkaline phosphatase.""
  - **Summary:** The drug itself was associated with elevated SGOT, SGPT, total and direct bilirubin elevations, and elevated alkaline phosphatase, which are indicators of potential liver function abnormalities but not directly hematological toxicity.
 

 In summary, Flurazepam Hydrochloride Capsules, USP have been associated with rare occurrences of leukopenia and granulocytopenia, indicating a potential risk of hematological toxicity.",Less,Yes,1,1
AZELASTINE HCL,"The drug label for Azelastine Hydrochloride Nasal Spray does not explicitly mention any hematological toxicity risks or hematological reactions. The provided information focuses on the drug's indications, dosage, administration, contraindications, warnings, precautions, adverse reactions, drug interactions, use in specific populations, and other relevant details. There are no sentences in the label that discuss hematological toxicity risks or hematological reactions associated with the use of this drug.",No,No,1,1
"ADENOSINE INJECTION, 6MG/2ML (3MG/ML) VIAL","The drug label for Adenosine Injection does not explicitly discuss hematological toxicity risks or hematological reactions. The provided text focuses on the pharmacological properties, clinical uses, contraindications, warnings, precautions, adverse reactions, and dosage instructions for adenosine. There is no mention of hematological toxicity or specific hematological reactions associated with the drug.",No,No,1,1
