generic_name,reasoning,less_determination,binary_determination,less_determination_score,binary_determination_score,issue_with_summaries,
ACETAMINOPHEN,"The drug label for Acetaminophen Injection does not explicitly mention pulmonary toxicity risks or pulmonary reactions as a direct effect of the drug itself. However, it does list some pulmonary-related adverse reactions observed during clinical studies. Here is a summary of the relevant parts:

1. **Adverse Reactions in Pediatric Population**:
   - **Respiratory, thoracic, and mediastinal disorders**: The label mentions that pediatric subjects treated with Acetaminophen Injection experienced adverse reactions such as atelectasis, pleural effusion, pulmonary edema, stridor, and wheezing. 
     - **Summary**: These reactions were observed in pediatric patients treated with the drug, but the label does not explicitly state that the drug itself caused these pulmonary reactions.

Overall, while the label lists some pulmonary-related adverse reactions observed in pediatric patients, it does not explicitly state that Acetaminophen Injection itself causes pulmonary toxicity or reactions.",Less,No,1,3,,
ALISKIREN,"The provided drug label for Aliskiren tablets does not explicitly mention pulmonary toxicity risks or pulmonary reactions. The label primarily focuses on the following key areas:

1. **Fetal Toxicity**: The drug can cause injury and death to the developing fetus when used during pregnancy.
2. **Renal Impairment/Hyperkalemia/Hypotension**: Risks associated with the use of Aliskiren in combination with ARBs or ACEIs, particularly in patients with diabetes or renal impairment.
3. **Anaphylactic Reactions and Angioedema**: Hypersensitivity reactions, including angioedema, which can involve the face, extremities, lips, tongue, glottis, and/or larynx, potentially leading to airway obstruction.
4. **Hypotension**: Symptomatic hypotension may occur, especially in patients with volume or salt depletion.
5. **Impaired Renal Function**: Monitoring of renal function is necessary as changes, including acute renal failure, can occur.
6. **Hyperkalemia**: Monitoring of serum potassium levels is necessary as hyperkalemia can occur.
7. **Drug Interactions**: Specific interactions with cyclosporine, itraconazole, NSAIDs, and other agents affecting the renin-angiotensin-aldosterone system (RAAS).

Since the label does not discuss pulmonary toxicity or pulmonary reactions, it can be concluded that there are no reported or identified pulmonary risks directly associated with the use of Aliskiren tablets based on the provided information.",No,No,1,1,,
AMIVANTAMAB,"### Summary of Pulmonary Toxicity Risks and Pulmonary Reactions for RYBREVANT

1. **Interstitial Lung Disease (ILD)/Pneumonitis Warning:**
   - **Sentence:** ""RYBREVANT can cause interstitial lung disease (ILD)/pneumonitis.""
   - **Summary:** The drug itself is associated with causing ILD/pneumonitis.

2. **RYBREVANT with Carboplatin and Pemetrexed:**
   - **Sentence:** ""Based on the safety population, Grade 3 ILD/pneumonitis occurred in 2.6% of patients treated with RYBREVANT in combination with carboplatin and pemetrexed, all patients required permanent discontinuation.""
   - **Summary:** The drug, when used in combination with carboplatin and pemetrexed, was associated with causing Grade 3 ILD/pneumonitis in 2.6% of patients, leading to permanent discontinuation.

3. **RYBREVANT as a Single Agent:**
   - **Sentence:** ""Based on the safety population, ILD/pneumonitis occurred in 3.3% of patients treated with RYBREVANT as a single agent, with 0.7% of patients experiencing Grade 3 ILD/pneumonitis.""
   - **Summary:** The drug itself, when used as a single agent, was associated with causing ILD/pneumonitis in 3.3% of patients, with 0.7% experiencing Grade 3 ILD/pneumonitis.

4. **Monitoring and Management:**
   - **Sentence:** ""Monitor patients for new or worsening symptoms indicative of ILD/pneumonitis (e.g., dyspnea, cough, fever). Immediately withhold RYBREVANT in patients with suspected ILD/pneumonitis and permanently discontinue if ILD/pneumonitis is confirmed.""
   - **Summary:** The drug itself requires monitoring for symptoms indicative of ILD/pneumonitis, and it should be withheld or discontinued if ILD/pneumonitis is suspected or confirmed.

5. **Clinical Trials Experience - First-line Treatment of NSCLC:**
   - **Sentence:** ""Serious adverse reactions in ≥ 2% of patients included rash, pneumonia, interstitial lung disease (ILD), pulmonary embolism, vomiting and COVID-19.""
   - **Summary:** The drug, in combination with carboplatin and pemetrexed, was associated with serious adverse reactions including ILD and pneumonia in ≥ 2% of patients.

6. **Clinical Trials Experience - Previously Treated NSCLC:**
   - **Sentence:** ""Serious adverse reactions in ≥ 2% of patients included pulmonary embolism, pneumonitis/ILD, dyspnea, musculoskeletal pain, pneumonia, and muscular weakness.""
   - **Summary:** The drug itself, when used as a single agent, was associated with serious adverse reactions including pneumonitis/ILD, dyspnea, and pneumonia in ≥ 2% of patients.

7. **Permanent Discontinuation:**
   - **Sentence:** ""Permanent discontinuation of RYBREVANT due to an adverse reaction occurred in 11% of patients. Adverse reactions resulting in permanent discontinuation of RYBREVANT in ≥1% of patients were rash and ILD.""
   - **Summary:** The drug itself was associated with permanent discontinuation due to ILD in ≥1% of patients.

8. **Patient Counseling Information:**
   - **Sentence:** ""Advise patients of the risks of interstitial lung disease (ILD)/pneumonitis. Advise patients to immediately contact their healthcare provider for new or worsening respiratory symptoms.""
   - **Summary:** The drug itself carries risks of ILD/pneumonitis, and patients should be advised to contact their healthcare provider if they experience new or worsening respiratory symptoms.

### Conclusion
RYBREVANT is associated with significant pulmonary toxicity risks, including ILD/pneumonitis and pneumonia, both as a single agent and in combination with carboplatin and pemetrexed. These risks necessitate careful monitoring and may lead to permanent discontinuation of the drug in affected patients.",Most,Yes,1,1,,
ATORVASTATIN,"The drug label for Atorvastatin Calcium does not explicitly mention pulmonary toxicity risks or pulmonary reactions in the sections provided. However, it does include a general warning about interstitial lung disease, which is a type of pulmonary condition. Here is a summary of the relevant information:

1. **Interstitial Lung Disease**:
   - **Sentence**: ""Adverse reactions associated with atorvastatin calcium therapy reported since market introduction, that are not listed above, regardless of causality assessment, include the following: ... interstitial lung disease.""
   - **Summary**: Interstitial lung disease has been reported in association with atorvastatin calcium therapy. The label does not definitively state that the drug causes this condition but notes it as a reported adverse reaction.

In summary, the drug label mentions interstitial lung disease as a reported adverse reaction associated with atorvastatin calcium therapy, but it does not provide detailed information on pulmonary toxicity risks or other specific pulmonary reactions directly caused by the drug.",Less,Yes,1,2,,
BECLOMETHASONE DIPROPIONATE,"The drug label for QNASL (beclomethasone dipropionate) Nasal Aerosol does not explicitly mention pulmonary toxicity risks or pulmonary reactions. The primary focus of the warnings and precautions sections is on local nasal effects, eye disorders, hypersensitivity reactions, immunosuppression, hypothalamic-pituitary-adrenal axis effects, and effects on growth. 

Here is a summary of the relevant sections that might indirectly relate to pulmonary concerns:

1. **Warnings and Precautions (5.4 Immunosuppression)**:
   - **Potential worsening of existing tuberculosis; fungal, bacterial, viral, or parasitic infections; or ocular herpes simplex**: This section mentions that corticosteroids, including QNASL, can worsen existing infections, which could potentially include respiratory infections. However, it does not specifically state that QNASL causes pulmonary toxicity.
   - **More serious or even fatal course of chickenpox or measles in susceptible patients**: This implies that patients on QNASL may have a more severe course of these infections, which can affect the lungs, but it does not directly state that QNASL causes pulmonary toxicity.

2. **Adverse Reactions (6.1 Clinical Trials Experience)**:
   - **Upper respiratory tract infection**: In children aged 4 to 11 years, upper respiratory tract infections were reported as a common adverse reaction. This indicates an association with the drug but does not confirm causation of pulmonary toxicity.

3. **Adverse Reactions (6.2 Postmarketing Experience)**:
   - **Bronchospasm**: This reaction has been reported following the oral inhalation of beclomethasone dipropionate, which is a different formulation than QNASL Nasal Aerosol. This suggests a potential risk but does not confirm that QNASL Nasal Aerosol itself causes bronchospasm or pulmonary toxicity.

In summary, while there are mentions of respiratory-related adverse reactions and the potential for worsening infections that could affect the lungs, the drug label does not explicitly state that QNASL Nasal Aerosol causes pulmonary toxicity. The associations are more indirect and related to the general effects of corticosteroids on the immune system and infections.",Less,No,1,1,,Is pulmonary infection a pulmonary toxicity? steroids can potentially increase risk of pulmonary infection through supressing the immune system. So need to decide whether you want to take pneumonia as a complication of the longterm use of drug or not.
BUPROPION HYDROBROMIDE,"The drug label for APLENZIN (bupropion hydrobromide) does not explicitly mention pulmonary toxicity risks or pulmonary reactions as a primary concern associated with the drug itself. However, there are a few mentions of respiratory-related adverse reactions in the context of postmarketing experience and clinical trials. Here is a summary of those mentions:

1. **Postmarketing Experience (Section 6.2)**:
   - **Bronchospasm**: This adverse reaction was identified during post-approval use of APLENZIN. The label does not explicitly state that APLENZIN caused bronchospasm, but it is listed as a reported reaction.
   - **Pneumonia**: This adverse reaction was also identified during post-approval use. Similar to bronchospasm, the label does not explicitly state that APLENZIN caused pneumonia, but it is listed as a reported reaction.

2. **Clinical Trials Experience (Section 6.1)**:
   - **Infections and Infestations**: In placebo-controlled clinical trials for Seasonal Affective Disorder (SAD), nasopharyngitis and upper respiratory tract infection were reported more frequently in patients treated with bupropion HCl extended-release compared to placebo. The label does not explicitly state that APLENZIN caused these infections, but it notes a higher incidence in the treatment group.

In summary, while the drug label mentions some respiratory-related adverse reactions, it does not explicitly state that APLENZIN itself caused these pulmonary risks. Instead, these reactions were reported during postmarketing experience and clinical trials.",Less,No,1,2,,
CARBIDOPA,"The drug label for LODOSYN® (carbidopa) does not explicitly mention pulmonary toxicity risks or pulmonary reactions. The sections of the label that discuss adverse reactions, warnings, and precautions do not include any specific references to pulmonary issues directly associated with the drug itself. 

Here is a summary of the relevant sections that might typically include such information, confirming the absence of pulmonary toxicity risks:

1. **Adverse Reactions**:
   - The label lists various adverse reactions associated with the use of LODOSYN in combination with levodopa or carbidopa-levodopa products. However, there are no mentions of pulmonary toxicity or specific pulmonary reactions directly caused by the drug.

2. **Warnings**:
   - The warnings section discusses several potential risks, such as falling asleep during activities, hyperpyrexia, confusion, impulse control disorders, hallucinations, and melanoma. None of these warnings include pulmonary toxicity or reactions.

3. **Precautions**:
   - The precautions section covers general monitoring recommendations, impulse control behaviors, hallucinations, dyskinesia, depression, and melanoma. Again, there is no mention of pulmonary toxicity or reactions.

4. **Contraindications**:
   - The contraindications section lists hypersensitivity to any component of the drug and the use of nonselective monoamine oxidase inhibitors, but it does not mention any pulmonary-related contraindications.

5. **Clinical Pharmacology**:
   - This section explains the mechanism of action, pharmacodynamics, and pharmacokinetics of carbidopa. It does not include any information about pulmonary toxicity or reactions.

In summary, the drug label for LODOSYN® (carbidopa) does not associate the drug with pulmonary toxicity risks or pulmonary reactions.",No,No,1,1,,
CEFUROXIME AXETIL,"The provided drug label for Cefuroxime Axetil does not explicitly mention any pulmonary toxicity risks or pulmonary reactions associated with the drug. The sections on adverse reactions, warnings, and precautions do not include any references to pulmonary issues. Therefore, based on the information provided in the drug label, there are no documented pulmonary toxicity risks or pulmonary reactions directly associated with Cefuroxime Axetil.",No,No,1,1,,
CHOLEYSTYRAMINE LIGHT,"The drug label for Cholestyramine for Oral Suspension USP, Light does not explicitly mention any pulmonary toxicity risks or pulmonary reactions associated with the drug itself. The detailed sections of the label, including the description, clinical pharmacology, clinical studies, indications and usage, contraindications, warnings, precautions, adverse reactions, and dosage and administration, do not discuss any pulmonary-related side effects or risks. 

To summarize:
- **Description**: No mention of pulmonary toxicity or reactions.
- **Clinical Pharmacology**: No mention of pulmonary toxicity or reactions.
- **Clinical Studies**: No mention of pulmonary toxicity or reactions.
- **Indications and Usage**: No mention of pulmonary toxicity or reactions.
- **Contraindications**: No mention of pulmonary toxicity or reactions.
- **Warnings**: No mention of pulmonary toxicity or reactions.
- **Precautions**: No mention of pulmonary toxicity or reactions.
- **Adverse Reactions**: No mention of pulmonary toxicity or reactions.
- **Dosage and Administration**: No mention of pulmonary toxicity or reactions.

In conclusion, the drug label does not associate Cholestyramine for Oral Suspension USP, Light with any pulmonary toxicity risks or pulmonary reactions.",No,No,1,1,,
CIPAGLUCOSIDASE ALFA-ATGA,"The drug label for POMBILITI™ (cipaglucosidase alfa-atga) includes several sections that discuss pulmonary toxicity risks and pulmonary reactions. Here is a summary of those parts:

1. **Boxed Warning: Risk of Acute Cardiorespiratory Failure in Susceptible Patients**
   - **Summary**: Patients susceptible to fluid volume overload, or those with acute underlying respiratory illness or compromised cardiac or respiratory function, may be at risk of serious exacerbation of their cardiac or respiratory status during POMBILITI infusion.
   - **Association**: The drug itself is associated with the risk of exacerbating cardiac or respiratory status in susceptible patients.

2. **Warnings and Precautions (5.3): Risk of Acute Cardiorespiratory Failure in Susceptible Patients**
   - **Summary**: Patients with underlying respiratory illness or compromised cardiac or respiratory function for whom fluid restriction is indicated may be at risk of serious exacerbation of their cardiac or respiratory status during the POMBILITI infusion. More frequent monitoring of vitals should be performed during POMBILITI infusion in these patients.
   - **Association**: The drug itself is associated with the risk of exacerbating cardiac or respiratory status in susceptible patients.

3. **Warnings and Precautions (5.2): Infusion-Associated Reactions**
   - **Summary**: Patients treated with POMBILITI have experienced severe infusion-associated reactions (IARs), which can include respiratory symptoms such as dyspnea.
   - **Association**: The drug itself is associated with severe infusion-associated reactions, including respiratory symptoms.

4. **Adverse Reactions (6.1): Clinical Trials Experience**
   - **Summary**: In clinical trials, infusion-associated reactions (IARs) were reported to occur at any time during and/or within a few hours after the POMBILITI infusion. IARs included symptoms such as dyspnea.
   - **Association**: The drug itself is associated with infusion-associated reactions, including dyspnea.

5. **Patient Counseling Information (17): Risk of Acute Cardiorespiratory Failure**
   - **Summary**: Advise the patient and caregiver that a patient with underlying respiratory illness or compromised cardiac or respiratory function may be at risk of acute cardiorespiratory failure from volume overload during POMBILITI infusion.
   - **Association**: The drug itself is associated with the risk of acute cardiorespiratory failure in patients with underlying respiratory illness or compromised cardiac or respiratory function.

In summary, the drug label indicates that POMBILITI itself is associated with risks of exacerbating respiratory conditions, causing severe infusion-associated reactions that include respiratory symptoms, and potentially leading to acute cardiorespiratory failure in susceptible patients.",Most,Yes,1,1,,
